id_projeto_pesquisa,codigo_projeto,titulo,palavras_chave,id_projeto,ano,data_inicio,data_fim,situacao,tipo_projeto,categoria_projeto,id_unidade,unidade,id_coordenador,coordenador,edital,id_grupo_pesquisa,grupo_pesquisa,linha_pesquisa,area_conhecimento_cnpq,objetivos_desenvolvimento_sustentavel
2747062,PVB29-2007,MODELAGEM DO ALGORITMO GENETICO VIA CADEIAS DE MARKOV,cadeias de markov;algoritmo genetico;condições do tipo doeblin,2747062,2007,2007/08/01 00:00:00.000,2008/07/31 00:00:00.000,RENOVADO,INTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,135.0,CADEIAS DE MARKOV,cadeias de markov;algoritmos estocasticos;algoritmos geneticos;modelagem matematica,"eletrônica industrial, sistemas e controles eletrônicos",
1098772,PVB303-2007,Algoritmos Transgenéticos aplicados ao Problema do Planejamento de Tratamento Radioterápico,algoritmos transgenéticos;algoritmos experimentais;planejamento de radioterapia,1098772,2007,2007/08/01 00:00:00.000,2008/07/31 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,88.0,TEORIA DOS GRAFOS E ALGORITMOS,algoritmos experimentais;algoritmos evolucionários;algoritmos transgenéticos;radioterapia,matemática aplicada,
1100346,PVB352-2007,Um formato de representação e comunicação de informações baseado em grafos (AGRAPHS),formatos de representação de informações;formatos de transferência de informações;sistemas de transfrmações de grafos,1100346,2007,2007/08/01 00:00:00.000,2008/07/31 00:00:00.000,RENOVADO,INTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,89.0,ConSiste: Concepção de Sistemas de Computação,engenharia de software;;;,metodologia e técnicas da computação,
1179261,PVB370-2007,Concepção e implementação de um ambiente multi-classificador adaptável através do uso de agentes inteligentes,sistemas multi-classificadores;agentes inteligentes;reconhecimento de padrões,1179261,2007,2007/08/01 00:00:00.000,2008/07/31 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,87.0,"Computability, Approximate Reasoning, Ordered structures and Logics",inteligência artificial;reconhecimento de padrões;agentes inteligentes;,sistemas de computação,
1101463,PVB708-2007,Prova automática de teoremas em lógica da primeira ordem e suas aplicações,verificação formal;lógica computacional;prova automática,1101463,2007,2007/08/01 00:00:00.000,2008/07/31 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,89.0,ConSiste: Concepção de Sistemas de Computação,métodos formais;verificação formal;prova automática de teoremas;lógica computacional,metodologia e técnicas da computação,
1100348,PVB767-2007,Engineering of Smart Card Applications,engenharia de software;cartões inteligentes;métodos formais,1100348,2007,2007/04/23 00:00:00.000,2008/07/31 00:00:00.000,RENOVADO,EXTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,89.0,ConSiste: Concepção de Sistemas de Computação,engenharia de software;métodos formais;;,metodologia e técnicas da computação,
2908820,PVB790-2007,Fundamentos e Aplicações da Lógica Fuzzy Intervalar,lógica fuzzy;matemática intervalar;t-normas,2908820,2007,2008/01/02 00:00:00.000,2009/01/01 00:00:00.000,RENOVADO,EXTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,87.0,"Computability, Approximate Reasoning, Ordered structures and Logics",lógica fuzzy;matemática intervalar;;,sistemas de computação,
1095630,PVB81-2007,Algoritmos Heurísticos para Problemas de Otimização Combinatória com Múltiplos Objetivos,otimização combinatória com múltiplos objetivos;algoritmos heurísticos;problemas reais,1095630,2007,2007/08/01 00:00:00.000,2008/07/31 00:00:00.000,RENOVADO,INTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,88.0,TEORIA DOS GRAFOS E ALGORITMOS,algoritmos experimentais;;;,pesquisa operacional,
94785961,PVB9065-2007,Sistemas Multiagentes para Reconhecimento de Biometrias Multimodais: Um Estudo de Caso em Sistemas de Autenticação e Segurança (BEX4903-06-4),"biometrcis, soft-biometrics, identification, security, social networks envirolment",91792459,2007,2007/09/01 00:00:00.000,2010/08/31 00:00:00.000,FINALIZADO,EXTERNO,Pesquisa Científica,125,departamento de informática e matemática aplicada,,,,85074788.0,PROCESSAMENTO GRÁFICO E INTELIGÊNCIA COMPUTACIONAL,inteligência artificial,ciência da computação,
1175988,PVB949-2007,Mapeamento Semântico de Especificação IMML em Componentes XICL,desenvolvimento de interfaces de usuário;interação humano-computador;linguagens de interfaces de usuário,1175988,2007,2007/08/01 00:00:00.000,2008/07/31 00:00:00.000,RENOVADO,INTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,89.0,ConSiste: Concepção de Sistemas de Computação,interação humano-computador;design de interfaces de usuário;engenharia de software;,sistemas de computação,
